period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
92.0,0.0,273.31737783310143,87.98489010074148,48.10191701610546,138.64957262195585,20.469314951434626,8.888342431114262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.837728450909633,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,351.50973393342207,104.52442114668324,106.02303690847958,64.43408810290285,29.112657993686867,38.79093076817374,0.0,10.885790623315094,0.0,0.0,0.0,0.0,0.0,23.527728450909635,0.0,3.999652675416358,0.0,0.0,0.0,0.0
94.0,0.0,320.3169893697392,149.69885808503264,156.39086722064252,151.08890443053318,61.496137114082885,71.23444133410301,0.0,18.903746645404123,0.0,0.0,0.0,0.0,0.0,9.116904667524638,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,386.543365496359,104.48422859577875,210.36560829883138,97.10037879195315,28.90469787727882,34.52601055014664,0.0,33.87751534564122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.695763410650092,0.0,0.0,0.0,0.0
96.0,0.0,368.0456600636538,93.7350899173938,162.63772024501466,66.0720920305709,26.75568848417638,29.587113335459897,0.0,13.697753763535953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.118216518671153,0.0,0.0,0.0,0.0
97.0,0.0,295.2128288919126,123.87592797399641,219.25324316556154,148.64394123062365,39.99508492311741,23.129319765861514,0.0,19.418189492514323,0.0,0.0,0.0,0.0,0.0,5.421141256874546,0.0,3.999652675416358,0.0,0.0,0.0,0.0
98.0,0.0,292.07942442809923,70.42007086485566,206.20229029122143,93.96099018305897,40.84904372934418,0.0,0.0,15.401808395254971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,236.35433217341603,40.11692065029611,207.10221722892732,168.42245765165114,8.888342431114262,17.98222304144449,0.0,29.569508864835008,0.0,0.0,0.0,0.0,6.726587194035089,5.69,0.0,4.29602493341461,0.0,0.0,0.0,0.0
100.0,0.0,235.4691300091002,79.9983420361844,50.766127876122276,172.0630352886676,10.453197477327214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,282.48926395166467,88.86162477075196,129.1466334689549,141.5202191796949,10.234657475717313,7.748452969850525,0.0,7.469957938494653,0.0,0.0,0.0,0.0,0.0,6.215508407283008,0.0,0.0,0.0,0.0,0.0,0.0
