"year","month","sumprecip","meanprecip","maxtemp","mintemp"
2009,10,12.8,0.0372093023255814,30.21,-1.814
2009,11,21.7,0.0301388888888889,27.89,-1.358
2009,12,17,0.0228494623655914,18.59,-5.341
2010,1,64.9,0.0872311827956989,18.36,-4.878
2010,2,25.7,0.0382440476190476,20.45,-1.458
2010,3,4.4,0.00591397849462366,28.32,-0.027
2010,4,6.1,0.00847222222222222,29.21,1.461
2010,5,4.5,0.00604838709677419,35.61,1.497
2010,6,3.8,0.00527777777777778,40.56,13.28
2010,7,29.6,0.0397849462365591,40.33,17.75
2010,8,42.3,0.0568548387096774,39.02,15.93
2010,9,5.2,0.00722222222222222,36.61,12.53
2010,10,21.9,0.0294354838709677,34.6,5.801
2010,11,1.1,0.00152777777777778,26.83,-7.69
2010,12,7.4,0.00994623655913979,24.02,-4.042
2011,1,2.1,0.00282258064516129,23.07,-9.92
2011,2,2.1,0.003125,25.31,-16.59
2011,3,0.4,0.000537634408602151,28.8,-0.459
2011,4,0.3,0.000416666666666667,32.82,2.061
2011,5,0,0,36.21,3.62
2011,6,0.6,0.000833333333333333,41.33,13.74
2011,7,90.6,0.121774193548387,38.61,18.14
2011,8,25.5,0.0342741935483871,40.08,16.7
2011,9,41.3,0.0573611111111111,37.59,13.12
2011,10,4.9,0.00658602150537634,34.51,1.804
2011,11,20.8,0.0288888888888889,29.26,-2.745
2011,12,56.4,0.0758064516129032,22.77,-6.834
2012,1,2.9,0.00389784946236559,22.13,-2.879
2012,2,14.3,0.0205459770114943,22.94,-4.042
2012,3,5.7,0.00766129032258065,29.51,-6.2
2012,4,0.7,0.000972222222222222,34.9,1.497
2012,5,4.3,0.00577956989247312,36.74,7.95
2012,6,0.3,0.000416666666666667,40.23,15.11
2012,7,38.7,0.0520161290322581,38.74,16.93
2012,8,12.4,0.0166666666666667,38.95,16.8
2012,9,9.7,0.0134722222222222,37.45,8.79
2012,10,0.1,0.000134408602150538,33.21,4.219
2012,11,2.8,0.00388888888888889,29.31,-2.146
2012,12,11.4,0.0153225806451613,24.05,-5.429
2013,1,10.4,0.0139784946236559,22.11,-11.14
2013,2,7,0.0104166666666667,21.64,-8.26
2013,3,4.4,0.00591397849462366,30.36,-1.478
2013,4,1.4,0.00194444444444444,31.81,2.829
2013,5,0.8,0.0010752688172043,35.35,6.299
2013,6,4.2,0.00583333333333333,40,16.2
2013,7,58.4,0.078494623655914,37.27,17.19
2013,8,56.3,0.0756720430107527,37.12,15.8
2013,9,70.7,0.0981944444444444,34.54,10.08
2013,10,0,0,31.4,2.13
2013,11,0,0,23.4,3.461
