year,plot,stake,species,abundance
1987,16,55,Astr nutt,1
1987,17,15,Astr nutt,1
1987,17,17,Astr nutt,1
1987,19,53,Astr nutt,1
1987,19,77,Astr nutt,1
1987,20,37,Astr nutt,1
1987,23,33,Astr nutt,1
1987,23,51,Astr nutt,1
1987,23,55,Astr nutt,1
1987,24,35,Astr nutt,1
1987,24,53,Astr nutt,1
1987,24,57,Astr nutt,1
1987,24,73,Astr nutt,1
1988,3,55,Astr nutt,1
1988,4,57,Astr nutt,1
1988,10,13,Astr nutt,1
1988,10,33,Astr nutt,1
1988,10,55,Astr nutt,1
1988,12,37,Astr nutt,1
1988,14,15,Astr nutt,1
1988,15,31,Astr nutt,1
1988,15,53,Astr nutt,1
1988,16,11,Astr nutt,1
1988,16,17,Astr nutt,1
1988,16,31,Astr nutt,1
1988,16,51,Astr nutt,1
1988,17,11,Astr nutt,1
1988,21,35,Astr nutt,1
1988,23,15,Astr nutt,1
1988,23,17,Astr nutt,1
1988,23,31,Astr nutt,1
1983,1,35,Astr nutt,1
1983,2,13,Astr nutt,1
1983,5,35,Astr nutt,1
1983,5,73,Astr nutt,1
1983,7,33,Astr nutt,1
1983,7,73,Astr nutt,1
1983,12,75,Astr nutt,1
1983,14,57,Astr nutt,1
1983,15,11,Astr nutt,1
1983,15,17,Astr nutt,1
1983,16,33,Astr nutt,1
1983,19,17,Astr nutt,1
1983,19,35,Astr nutt,1
1983,19,51,Astr nutt,1
1983,21,31,Astr nutt,1
1983,21,33,Astr nutt,1
1983,23,33,Astr nutt,1
1983,23,55,Astr nutt,1
1983,23,57,Astr nutt,1
1984,5,17,Astr nutt,1
1984,6,17,Astr nutt,1
1984,6,35,Astr nutt,1
1984,7,35,Astr nutt,1
1984,13,31,Astr nutt,1
1984,14,17,Astr nutt,1
1984,14,57,Astr nutt,1
1984,15,11,Astr nutt,1
1984,15,37,Astr nutt,1
1984,15,77,Astr nutt,1
1984,16,33,Astr nutt,1
1984,16,51,Astr nutt,1
1984,16,71,Astr nutt,1
1984,21,31,Astr nutt,1
1984,23,11,Astr nutt,1
1984,23,13,Astr nutt,1
1984,23,71,Astr nutt,1
1984,24,13,Astr nutt,1
1984,24,15,Astr nutt,1
1985,6,57,Astr nutt,1
1985,7,15,Astr nutt,1
1985,7,35,Astr nutt,1
1985,7,57,Astr nutt,1
1985,10,51,Astr nutt,1
1985,10,55,Astr nutt,1
1985,12,37,Astr nutt,1
1985,13,17,Astr nutt,1
1985,15,35,Astr nutt,1
1985,15,71,Astr nutt,1
1985,16,33,Astr nutt,1
1985,16,35,Astr nutt,1
1985,16,37,Astr nutt,1
1985,19,55,Astr nutt,1
1985,20,55,Astr nutt,1
1985,21,31,Astr nutt,1
1985,21,77,Astr nutt,1
1985,22,17,Astr nutt,1
1985,23,15,Astr nutt,1
1985,23,33,Astr nutt,1
1985,23,53,Astr nutt,1
1986,3,33,Astr nutt,1
1986,3,57,Astr nutt,1
1986,4,71,Astr nutt,1
1986,5,33,Astr nutt,1
1986,5,53,Astr nutt,1
1986,7,17,Astr nutt,1
1986,7,31,Astr nutt,1
1989,3,17,Astr nutt,1
