"period","mo","dy","yr","date","plots"
331,1,7,2006,2006-01-07,24
332,1,28,2006,2006-01-28,24
333,3,4,2006,2006-03-04,24
334,3,25,2006,2006-03-25,24
335,4,29,2006,2006-04-29,24
336,5,27,2006,2006-05-27,24
337,6,25,2006,2006-06-25,12
338,7,22,2006,2006-07-22,24
339,8,20,2006,2006-08-20,12
340,9,23,2006,2006-09-23,24
341,10,21,2006,2006-10-21,24
342,11,18,2006,2006-11-18,24
343,12,16,2006,2006-12-16,24
344,1,21,2007,2007-01-21,12
345,2,17,2007,2007-02-17,24
346,3,17,2007,2007-03-17,24
347,4,14,2007,2007-04-14,24
348,5,19,2007,2007-05-19,24
349,6,16,2007,2007-06-16,24
350,7,14,2007,2007-07-14,24
351,8,11,2007,2007-08-11,12
352,9,8,2007,2007-09-08,24
353,10,13,2007,2007-10-13,24
354,11,10,2007,2007-11-10,24
355,12,15,2007,2007-12-15,24
356,1,12,2008,2008-01-12,24
357,2,9,2008,2008-02-09,24
358,3,9,2008,2008-03-09,24
359,4,6,2008,2008-04-06,24
360,5,3,2008,2008-05-03,24
361,6,7,2008,2008-06-07,24
362,6,28,2008,2008-06-28,24
363,7,26,2008,2008-07-26,24
364,8,30,2008,2008-08-30,24
365,9,27,2008,2008-09-27,24
366,10,26,2008,2008-10-26,24
367,11,22,2008,2008-11-22,24
368,12,20,2008,2008-12-20,24
369,1,24,2009,2009-01-24,24
370,2,21,2009,2009-02-21,24
371,3,21,2009,2009-03-21,24
372,4,26,2009,2009-04-26,24
373,5,23,2009,2009-05-23,24
374,6,20,2009,2009-06-20,24
375,7,29,2009,2009-07-29,24
376,8,22,2009,2009-08-22,24
377,9,19,2009,2009-09-19,24
378,10,17,2009,2009-10-17,24
379,11,14,2009,2009-11-14,24
380,12,12,2009,2009-12-12,24
381,1,16,2010,2010-01-16,24
382,2,13,2010,2010-02-13,24
383,3,13,2010,2010-03-13,24
384,4,17,2010,2010-04-17,24
385,5,15,2010,2010-05-15,24
386,7,10,2010,2010-07-10,24
387,9,5,2010,2010-09-05,24
388,11,6,2010,2010-11-06,24
389,1,5,2011,2011-01-05,24
390,2,5,2011,2011-02-05,24
391,3,14,2011,2011-03-14,24
392,4,2,2011,2011-04-02,24
393,5,8,2011,2011-05-08,24
394,5,26,2011,2011-05-26,23
395,7,3,2011,2011-07-03,24
396,8,6,2011,2011-08-06,24
397,8,27,2011,2011-08-27,24
398,10,1,2011,2011-10-01,24
399,10,22,2011,2011-10-22,24
400,12,17,2011,2011-12-17,12
401,1,21,2012,2012-01-21,24
402,2,19,2012,2012-02-19,24
403,3,12,2012,2012-03-12,24
404,4,21,2012,2012-04-21,24
405,5,26,2012,2012-05-26,19
406,6,16,2012,2012-06-16,24
407,7,28,2012,2012-07-28,24
408,8,18,2012,2012-08-18,24
409,9,15,2012,2012-09-15,24
410,10,13,2012,2012-10-13,24
411,11,10,2012,2012-11-10,24
412,12,8,2012,2012-12-08,24
413,1,12,2013,2013-01-12,24
414,2,16,2013,2013-02-16,24
415,3,13,2013,2013-03-13,24
416,4,14,2013,2013-04-14,24
417,5,11,2013,2013-05-11,24
418,7,6,2013,2013-07-06,24
419,9,15,2013,2013-09-15,24
420,11,2,2013,2013-11-02,24
421,12,29,2013,2013-12-29,24
422,2,1,2014,2014-02-01,24
423,3,1,2014,2014-03-01,24
424,3,29,2014,2014-03-29,24
425,4,26,2014,2014-04-26,24
426,5,31,2014,2014-05-31,24
427,6,28,2014,2014-06-28,24
428,8,2,2014,2014-08-02,24
429,8,30,2014,2014-08-30,24
430,9,27,2014,2014-09-27,24
431,10,25,2014,2014-10-25,24
432,11,22,2014,2014-11-22,24
433,12,13,2014,2014-12-13,12
434,1,17,2015,2015-01-17,24
